1011.txt 5485 0 0 3441.58 0 not found
1012.txt	5291	0	0	2543.42		0					2543.42
1013.txt	5223	1	1	300		0.01914608463					No -1
1014.txt	5401	0	0	1943.83		0					1943.83
1015.txt	5257	0	0	3988.52		0					3988.52
1016.txt	5339	0	0	236.19		0					236.19
1017.txt	5208	1	1	300		0.01920122888					No -1
1018.txt	5336	1	1	300		0.01874062969					No -1
1019.txt	5237	1	1	300		0.01909490166					No -1
1020.txt	5146	0	0	5515.55		0					5515.55
1021.txt	2604	1	3	300		0.1152073733					No -1
1022.txt	2581	1	3	300		0.1162340178					No -1
1023.txt	2523	1	2	300		0.07927070947					No -1
1024.txt	2622	1	3	300		0.114416476					No -1
1025.txt	2555	1	2	300		0.0782778865					No -1
1026.txt	2608	1	4	300		0.1533742331					No -1
1027.txt	2659	1	3	300		0.1128243701					No -1
1028.txt	2577	1	3	300		0.1164144354					No -1
1029.txt	2615	1	3	300		0.1147227533					No -1
1030.txt	2535	1	3	300		0.1183431953					No -1
1031.txt	1734	1	4	300		0.2306805075					No -1
1032.txt	1744	1	4	300		0.2293577982					No -1
1033.txt	1695	1	5	300		0.2949852507					No -1
1034.txt	1735	1	5	300		0.288184438					No -1
1035.txt	1712	1	5	300		0.2920560748					No -1
1036.txt	1707	1	5	300		0.2929115407					No -1
1037.txt	1697	1	4	300		0.2357100766					No -1
1038.txt	1761	1	5	300		0.2839295855					No -1
1039.txt	1717	1	5	300		0.2912055911					No -1
1040.txt	1715	1	5	300		0.2915451895					No -1
1041.txt	1332	1	6	300		0.4504504505					No -1
1042.txt	1336	1	6	300		0.4491017964					No -1
1043.txt	1261	1	6	300		0.4758128469					No -1
1044.txt	1334	1	6	300		0.4497751124					No -1
1045.txt	1269	1	6	300		0.4728132388					No -1
1046.txt	1248	1	5	300		0.4006410256					No -1
1047.txt	1316	1	6	300		0.4559270517					No -1
1048.txt	1318	1	6	300		0.4552352049					No -1
1049.txt	1314	1	5	300		0.3805175038					No -1
1050.txt	1288	1	5	300		0.3881987578					No -1
1051.txt	1024	1	8	300		0.78125					No -1
1052.txt	1032	1	6	300		0.5813953488					No -1
1053.txt	1032	1	7	300		0.6782945736					No -1
1054.txt	1002	1	6	300		0.5988023952					No -1
1055.txt	1019	1	7	300		0.6869479882					No -1
1056.txt	1025	1	7	300		0.6829268293					No -1
1057.txt	1063	1	7	300		0.6585136406					No -1
1058.txt	1029	1	6	300		0.583090379					No -1
1059.txt	1050	1	9	300		0.8571428571					No -1
1060.txt	1031	1	6	300		0.5819592629					No -1
111.txt	505	1	2	300		0.396039604					No -1
112.txt	516	1	2	300		0.3875968992					No -1
113.txt	554	1	2	300		0.3610108303					No -1
114.txt	553	1	3	300		0.5424954792					No -1
115.txt	562	1	2	300		0.3558718861					No -1
116.txt	508	1	1	300		0.1968503937					No -1
117.txt	506	1	2	300		0.395256917					No -1
118.txt	508	1	1	300		0.1968503937					No -1
119.txt	529	1	2	300		0.3780718336					No -1
120.txt	490	1	1	300		0.2040816327					No -1
121.txt	258	1	3	300		1.162790698					No -1
122.txt	258	1	4	300		1.550387597					No -1
123.txt	272	1	4	300		1.470588235					No -1
124.txt	292	1	4	300		1.369863014					No -1
125.txt	287	1	5	300		1.742160279					No -1
126.txt	263	1	3	300		1.140684411					No -1
127.txt	272	1	4	300		1.470588235					No -1
128.txt	286	1	4	300		1.398601399					No -1
129.txt	272	1	4	300		1.470588235					No -1
130.txt	234	1	4	300		1.709401709					No -1
131.txt	179	1	6	300		3.351955307					No -1
132.txt	176	1	6	300		3.409090909					No -1
133.txt	184	1	5	300		2.717391304					No -1
134.txt	175	1	6	300		3.428571429					No -1
135.txt	170	1	5	300		2.941176471					No -1
136.txt	165	1	5	300		3.03030303					No -1
137.txt	173	1	5	300		2.89017341					No -1
138.txt	171	1	5	300		2.923976608					No -1
139.txt	187	1	6	300		3.20855615					No -1
140.txt	182	1	6	300		3.296703297					No -1
141.txt	147	1	8	300		5.442176871					No -1
142.txt	132	1	7	300		5.303030303					No -1
143.txt	153	1	6	300		3.921568627					No -1
144.txt	142	1	6	300		4.225352113					No -1
145.txt	142	1	6	300		4.225352113					No -1
146.txt	144	1	8	300		5.555555556					No -1
147.txt	126	1	7	300		5.555555556					No -1
148.txt	140	1	7	300		5					No -1
149.txt	128	1	7	300		5.46875					No -1
150.txt	135	1	6	300		4.444444444					No -1
151.txt	104	1	3	300		2.884615385					No -1
152.txt	113	1	6	300		5.309734513					No -1
153.txt	118	1	10	300		8.474576271					No -1
154.txt	116	1	10	300		8.620689655					No -1
155.txt	105	1	5	300		4.761904762					No -1
156.txt	115	1	7	300		6.086956522					No -1
157.txt	127	1	11	300		8.661417323					No -1
158.txt	116	1	10	300		8.620689655					No -1
159.txt	109	1	8	300		7.339449541					No -1
160.txt	106	1	5	300		4.716981132					No -1
211.txt	1121	1	2	300		0.178412132					No -1
212.txt	1063	1	1	300		0.09407337723					No -1
213.txt	1095	1	2	300		0.1826484018					No -1
214.txt	1100	1	1	300		0.09090909091					No -1
215.txt	1014	1	1	300		0.09861932939					No -1
216.txt	1071	1	2	300		0.1867413632					No -1
217.txt	970	1	1	300		0.1030927835					No -1
218.txt	1104	1	2	300		0.1811594203					No -1
219.txt	1039	1	2	300		0.1924927815					No -1
220.txt	1087	1	2	300		0.1839926403					No -1
221.txt	515	1	3	300		0.5825242718					No -1
222.txt	518	1	3	300		0.5791505792					No -1
223.txt	560	1	5	300		0.8928571429					No -1
224.txt	569	1	3	300		0.5272407733					No -1
225.txt	560	1	4	300		0.7142857143					No -1
226.txt	534	1	2	300		0.3745318352					No -1
227.txt	510	1	3	300		0.5882352941					No -1
228.txt	525	1	3	300		0.5714285714					No -1
229.txt	502	1	3	300		0.5976095618					No -1
230.txt	524	1	3	300		0.572519084					No -1
231.txt	353	1	5	300		1.416430595					No -1
232.txt	355	1	4	300		1.126760563					No -1
233.txt	337	1	4	300		1.18694362					No -1
234.txt	357	1	5	300		1.400560224					No -1
235.txt	320	1	5	300		1.5625					No -1
236.txt	348	1	4	300		1.149425287					No -1
237.txt	360	1	6	300		1.666666667					No -1
238.txt	358	1	4	300		1.117318436					No -1
239.txt	348	1	5	300		1.436781609					No -1
240.txt	341	1	3	300		0.8797653959					No -1
241.txt	251	1	5	300		1.992031873					No -1
242.txt	262	1	6	300		2.290076336					No -1
243.txt	258	1	5	300		1.937984496					No -1
244.txt	267	1	5	300		1.872659176					No -1
245.txt	264	1	5	300		1.893939394					No -1
246.txt	266	1	7	300		2.631578947					No -1
247.txt	272	1	9	300		3.308823529					No -1
248.txt	251	1	10	300		3.984063745					No -1
249.txt	259	1	7	300		2.702702703					No -1
250.txt	242	1	6	300		2.479338843					No -1
251.txt	225	1	6	300		2.666666667					No -1
252.txt	213	1	7	300		3.286384977					No -1
253.txt	218	1	6	300		2.752293578					No -1
254.txt	214	1	7	300		3.271028037					No -1
255.txt	203	1	7	300		3.448275862					No -1
256.txt	194	1	6	300		3.092783505					No -1
257.txt	225	1	7	300		3.111111111					No -1
258.txt	208	1	7	300		3.365384615					No -1
259.txt	205	1	6	300		2.926829268					No -1
260.txt	228	1	11	300		4.824561404					No -1
511.txt	2602	1	2	300		0.07686395081					No -1
512.txt	2643	1	1	300		0.03783579266					No -1
513.txt	2680	1	1	300		0.03731343284					No -1
514.txt	2753	1	1	300		0.03632401017					No -1
515.txt	2597	1	1	300		0.03850596843					No -1
516.txt	2612	1	1	300		0.0382848392					No -1
517.txt	2522	1	1	300		0.03965107058					No -1
518.txt	2639	1	1	300		0.03789314134					No -1
519.txt	2711	1	1	300		0.03688675765					No -1
520.txt	2631	1	1	300		0.03800836184					No -1
521.txt	1274	1	2	300		0.1569858713					No -1
522.txt	1296	1	3	300		0.2314814815					No -1
523.txt	1323	1	3	300		0.2267573696					No -1
524.txt	1358	1	5	300		0.3681885125					No -1
525.txt	1330	1	3	300		0.2255639098					No -1
526.txt	1286	1	3	300		0.233281493					No -1
527.txt	1336	1	3	300		0.2245508982					No -1
528.txt	1293	1	3	300		0.2320185615					No -1
529.txt	1278	1	2	300		0.1564945227					No -1
530.txt	1284	1	3	300		0.2336448598					No -1
531.txt	889	1	4	300		0.449943757					No -1
532.txt	838	1	4	300		0.477326969					No -1
533.txt	867	1	5	300		0.5767012687					No -1
534.txt	860	1	5	300		0.5813953488					No -1
535.txt	898	1	6	300		0.6681514477					No -1
536.txt	885	1	6	300		0.6779661017					No -1
537.txt	844	1	3	300		0.355450237					No -1
538.txt	839	1	5	300		0.5959475566					No -1
539.txt	865	1	3	300		0.3468208092					No -1
540.txt	869	1	4	300		0.4602991945					No -1
541.txt	661	1	6	300		0.9077155825					No -1
542.txt	660	1	6	300		0.9090909091					No -1
543.txt	643	1	7	300		1.088646967					No -1
544.txt	655	1	8	300		1.221374046					No -1
545.txt	679	1	6	300		0.88365243					No -1
546.txt	652	1	5	300		0.7668711656					No -1
547.txt	670	1	6	300		0.8955223881					No -1
548.txt	641	1	5	300		0.7800312012					No -1
549.txt	629	1	6	300		0.9538950715					No -1
550.txt	623	1	6	300		0.963081862					No -1
551.txt	511	1	7	300		1.369863014					No -1
552.txt	533	1	9	300		1.688555347					No -1
553.txt	527	1	8	300		1.518026565					No -1
554.txt	520	1	8	300		1.538461538					No -1
555.txt	540	1	9	300		1.666666667					No -1
556.txt	528	1	8	300		1.515151515					No -1
557.txt	518	1	8	300		1.544401544					No -1
558.txt	536	1	7	300		1.305970149					No -1
559.txt	532	1	6	300		1.127819549					No -1
560.txt	521	1	5	300		0.9596928983					No -1
