Instance,best_cmax
" ""1011.txt"" ",10959
" ""1012.txt"" ",10879
" ""1013.txt"" ",10950
" ""1014.txt"" ",10916
" ""1015.txt"" ",10923
" ""1016.txt"" ",10933
" ""1017.txt"" ",10891
" ""1018.txt"" ",10951
" ""1019.txt"" ",10909
" ""1020.txt"" ",10951
" ""1021.txt"" ",5246
" ""1022.txt"" ",5249
" ""1023.txt"" ",5242
" ""1024.txt"" ",5257
" ""1025.txt"" ",5257
" ""1026.txt"" ",5251
" ""1027.txt"" ",5263
" ""1028.txt"" ",5275
" ""1029.txt"" ",5249
" ""1030.txt"" ",5249
" ""1031.txt"" ",3492
" ""1032.txt"" ",3492
" ""1033.txt"" ",3487
" ""1034.txt"" ",3477
" ""1035.txt"" ",3487
" ""1036.txt"" ",3483
" ""1037.txt"" ",3486
" ""1038.txt"" ",3484
" ""1039.txt"" ",3491
" ""1040.txt"" ",3485
" ""1041.txt"" ",2567
" ""1042.txt"" ",2566
" ""1043.txt"" ",2570
" ""1044.txt"" ",2567
" ""1045.txt"" ",2571
" ""1046.txt"" ",2566
" ""1047.txt"" ",2570
" ""1048.txt"" ",2570
" ""1049.txt"" ",2567
" ""1050.txt"" ",2565
" ""1051.txt"" ",2047
" ""1052.txt"" ",2050
" ""1053.txt"" ",2050
" ""1054.txt"" ",2045
" ""1055.txt"" ",2044
" ""1056.txt"" ",2045
" ""1057.txt"" ",2046
" ""1058.txt"" ",2050
" ""1059.txt"" ",2051
" ""1060.txt"" ",2048
" ""111.txt"" ",1115
" ""112.txt"" ",1086
" ""113.txt"" ",1094
" ""114.txt"" ",1112
" ""115.txt"" ",1108
" ""116.txt"" ",1097
" ""117.txt"" ",1110
" ""118.txt"" ",1112
" ""119.txt"" ",1110
" ""120.txt"" ",1098
" ""121.txt"" ",534
" ""122.txt"" ",541
" ""123.txt"" ",533
" ""124.txt"" ",536
" ""125.txt"" ",541
" ""126.txt"" ",537
" ""127.txt"" ",537
" ""128.txt"" ",531
" ""129.txt"" ",538
" ""130.txt"" ",533
" ""131.txt"" ",409
" ""132.txt"" ",409
" ""133.txt"" ",408
" ""134.txt"" ",409
" ""135.txt"" ",407
" ""136.txt"" ",406
" ""137.txt"" ",408
" ""138.txt"" ",405
" ""139.txt"" ",405
" ""140.txt"" ",405
" ""141.txt"" ",306
" ""142.txt"" ",306
" ""143.txt"" ",307
" ""144.txt"" ",305
" ""145.txt"" ",307
" ""146.txt"" ",306
" ""147.txt"" ",307
" ""148.txt"" ",306
" ""149.txt"" ",306
" ""150.txt"" ",306
" ""151.txt"" ",209
" ""152.txt"" ",212
" ""153.txt"" ",213
" ""154.txt"" ",210
" ""155.txt"" ",211
" ""156.txt"" ",211
" ""157.txt"" ",211
" ""158.txt"" ",212
" ""159.txt"" ",212
" ""160.txt"" ",212
" ""211.txt"" ",2198
" ""212.txt"" ",2193
" ""213.txt"" ",2189
" ""214.txt"" ",2181
" ""215.txt"" ",2203
" ""216.txt"" ",2178
" ""217.txt"" ",2181
" ""218.txt"" ",2185
" ""219.txt"" ",2186
" ""220.txt"" ",2200
" ""221.txt"" ",1056
" ""222.txt"" ",1057
" ""223.txt"" ",1052
" ""224.txt"" ",1059
" ""225.txt"" ",1055
" ""226.txt"" ",1062
" ""227.txt"" ",1058
" ""228.txt"" ",1058
" ""229.txt"" ",1063
" ""230.txt"" ",1053
" ""231.txt"" ",720
" ""232.txt"" ",720
" ""233.txt"" ",719
" ""234.txt"" ",722
" ""235.txt"" ",717
" ""236.txt"" ",726
" ""237.txt"" ",724
" ""238.txt"" ",722
" ""239.txt"" ",722
" ""240.txt"" ",721
" ""241.txt"" ",518
" ""242.txt"" ",519
" ""243.txt"" ",517
" ""244.txt"" ",518
" ""245.txt"" ",522
" ""246.txt"" ",522
" ""247.txt"" ",518
" ""248.txt"" ",524
" ""249.txt"" ",516
" ""250.txt"" ",521
" ""251.txt"" ",415
" ""252.txt"" ",419
" ""253.txt"" ",413
" ""254.txt"" ",414
" ""255.txt"" ",416
" ""256.txt"" ",414
" ""257.txt"" ",416
" ""258.txt"" ",415
" ""259.txt"" ",416
" ""260.txt"" ",415
" ""511.txt"" ",5470
" ""512.txt"" ",5451
" ""513.txt"" ",5466
" ""514.txt"" ",5434
" ""515.txt"" ",5467
" ""516.txt"" ",5470
" ""517.txt"" ",5421
" ""518.txt"" ",5432
" ""519.txt"" ",5454
" ""520.txt"" ",5449
" ""521.txt"" ",2626
" ""522.txt"" ",2639
" ""523.txt"" ",2650
" ""524.txt"" ",2627
" ""525.txt"" ",2637
" ""526.txt"" ",2628
" ""527.txt"" ",2623
" ""528.txt"" ",2624
" ""529.txt"" ",2632
" ""530.txt"" ",2615
" ""531.txt"" ",1750
" ""532.txt"" ",1755
" ""533.txt"" ",1755
" ""534.txt"" ",1751
" ""535.txt"" ",1746
" ""536.txt"" ",1746
" ""537.txt"" ",1747
" ""538.txt"" ",1752
" ""539.txt"" ",1747
" ""540.txt"" ",1751
" ""541.txt"" ",1327
" ""542.txt"" ",1325
" ""543.txt"" ",1328
" ""544.txt"" ",1327
" ""545.txt"" ",1326
" ""546.txt"" ",1325
" ""547.txt"" ",1326
" ""548.txt"" ",1326
" ""549.txt"" ",1328
" ""550.txt"" ",1324
" ""551.txt"" ",1028
" ""552.txt"" ",1029
" ""553.txt"" ",1025
" ""554.txt"" ",1028
" ""555.txt"" ",1027
" ""556.txt"" ",1029
" ""557.txt"" ",1028
" ""558.txt"" ",1027
" ""559.txt"" ",1026
" ""560.txt"" ",1028
