Instance,best_cmax
" ""1011.txt"" ",10158
" ""1012.txt"" ",10158
" ""1013.txt"" ",10163
" ""1014.txt"" ",10165
" ""1015.txt"" ",10168
" ""1016.txt"" ",10184
" ""1017.txt"" ",10161
" ""1018.txt"" ",10169
" ""1019.txt"" ",10167
" ""1020.txt"" ",10174
" ""1021.txt"" ",5040
" ""1022.txt"" ",5040
" ""1023.txt"" ",5038
" ""1024.txt"" ",5037
" ""1025.txt"" ",5039
" ""1026.txt"" ",5036
" ""1027.txt"" ",5042
" ""1028.txt"" ",5039
" ""1029.txt"" ",5036
" ""1030.txt"" ",5040
" ""1031.txt"" ",3414
" ""1032.txt"" ",3413
" ""1033.txt"" ",3412
" ""1034.txt"" ",3412
" ""1035.txt"" ",3412
" ""1036.txt"" ",3411
" ""1037.txt"" ",3411
" ""1038.txt"" ",3411
" ""1039.txt"" ",3414
" ""1040.txt"" ",3410
" ""1041.txt"" ",2518
" ""1042.txt"" ",2509
" ""1043.txt"" ",2510
" ""1044.txt"" ",2510
" ""1045.txt"" ",2507
" ""1046.txt"" ",2508
" ""1047.txt"" ",2508
" ""1048.txt"" ",2507
" ""1049.txt"" ",2511
" ""1050.txt"" ",2508
" ""1051.txt"" ",2008
" ""1052.txt"" ",2033
" ""1053.txt"" ",2010
" ""1054.txt"" ",2015
" ""1055.txt"" ",2010
" ""1056.txt"" ",2010
" ""1057.txt"" ",2027
" ""1058.txt"" ",2021
" ""1059.txt"" ",2006
" ""1060.txt"" ",2025
" ""111.txt"" ",1015
" ""112.txt"" ",1019
" ""113.txt"" ",1017
" ""114.txt"" ",1018
" ""115.txt"" ",1019
" ""116.txt"" ",1016
" ""117.txt"" ",1016
" ""118.txt"" ",1018
" ""119.txt"" ",1020
" ""120.txt"" ",1016
" ""121.txt"" ",507
" ""122.txt"" ",505
" ""123.txt"" ",506
" ""124.txt"" ",505
" ""125.txt"" ",507
" ""126.txt"" ",508
" ""127.txt"" ",506
" ""128.txt"" ",507
" ""129.txt"" ",505
" ""130.txt"" ",508
" ""131.txt"" ",400
" ""132.txt"" ",401
" ""133.txt"" ",401
" ""134.txt"" ",400
" ""135.txt"" ",400
" ""136.txt"" ",401
" ""137.txt"" ",401
" ""138.txt"" ",400
" ""139.txt"" ",401
" ""140.txt"" ",401
" ""141.txt"" ",300
" ""142.txt"" ",300
" ""143.txt"" ",300
" ""144.txt"" ",300
" ""145.txt"" ",300
" ""146.txt"" ",300
" ""147.txt"" ",300
" ""148.txt"" ",300
" ""149.txt"" ",301
" ""150.txt"" ",301
" ""151.txt"" ",201
" ""152.txt"" ",202
" ""153.txt"" ",201
" ""154.txt"" ",202
" ""155.txt"" ",202
" ""156.txt"" ",202
" ""157.txt"" ",202
" ""158.txt"" ",202
" ""159.txt"" ",202
" ""160.txt"" ",202
" ""211.txt"" ",2032
" ""212.txt"" ",2030
" ""213.txt"" ",2037
" ""214.txt"" ",2030
" ""215.txt"" ",2038
" ""216.txt"" ",2029
" ""217.txt"" ",2034
" ""218.txt"" ",2031
" ""219.txt"" ",2035
" ""220.txt"" ",2031
" ""221.txt"" ",1008
" ""222.txt"" ",1009
" ""223.txt"" ",1009
" ""224.txt"" ",1008
" ""225.txt"" ",1009
" ""226.txt"" ",1008
" ""227.txt"" ",1011
" ""228.txt"" ",1008
" ""229.txt"" ",1009
" ""230.txt"" ",1009
" ""231.txt"" ",702
" ""232.txt"" ",703
" ""233.txt"" ",702
" ""234.txt"" ",702
" ""235.txt"" ",702
" ""236.txt"" ",702
" ""237.txt"" ",702
" ""238.txt"" ",702
" ""239.txt"" ",702
" ""240.txt"" ",703
" ""241.txt"" ",503
" ""242.txt"" ",504
" ""243.txt"" ",503
" ""244.txt"" ",503
" ""245.txt"" ",503
" ""246.txt"" ",503
" ""247.txt"" ",503
" ""248.txt"" ",503
" ""249.txt"" ",503
" ""250.txt"" ",503
" ""251.txt"" ",402
" ""252.txt"" ",403
" ""253.txt"" ",403
" ""254.txt"" ",402
" ""255.txt"" ",402
" ""256.txt"" ",402
" ""257.txt"" ",402
" ""258.txt"" ",402
" ""259.txt"" ",403
" ""260.txt"" ",402
" ""511.txt"" ",5077
" ""512.txt"" ",5077
" ""513.txt"" ",5082
" ""514.txt"" ",5081
" ""515.txt"" ",5083
" ""516.txt"" ",5076
" ""517.txt"" ",5074
" ""518.txt"" ",5074
" ""519.txt"" ",5075
" ""520.txt"" ",5074
" ""521.txt"" ",2519
" ""522.txt"" ",2515
" ""523.txt"" ",2518
" ""524.txt"" ",2516
" ""525.txt"" ",2518
" ""526.txt"" ",2518
" ""527.txt"" ",2518
" ""528.txt"" ",2518
" ""529.txt"" ",2517
" ""530.txt"" ",2519
" ""531.txt"" ",1705
" ""532.txt"" ",1705
" ""533.txt"" ",1705
" ""534.txt"" ",1706
" ""535.txt"" ",1706
" ""536.txt"" ",1706
" ""537.txt"" ",1706
" ""538.txt"" ",1706
" ""539.txt"" ",1706
" ""540.txt"" ",1706
" ""541.txt"" ",1302
" ""542.txt"" ",1302
" ""543.txt"" ",1302
" ""544.txt"" ",1303
" ""545.txt"" ",1303
" ""546.txt"" ",1303
" ""547.txt"" ",1303
" ""548.txt"" ",1303
" ""549.txt"" ",1302
" ""550.txt"" ",1302
" ""551.txt"" ",1004
" ""552.txt"" ",1003
" ""553.txt"" ",1004
" ""554.txt"" ",1004
" ""555.txt"" ",1003
" ""556.txt"" ",1003
" ""557.txt"" ",1003
" ""558.txt"" ",1004
" ""559.txt"" ",1003
" ""560.txt"" ",1004
