Instance,best_cmax
" ""1011.txt"" ",100878
" ""1012.txt"" ",100935
" ""1013.txt"" ",100980
" ""1014.txt"" ",101016
" ""1015.txt"" ",100957
" ""1016.txt"" ",100943
" ""1017.txt"" ",100932
" ""1018.txt"" ",100980
" ""1019.txt"" ",101004
" ""1020.txt"" ",100951
" ""1021.txt"" ",50245
" ""1022.txt"" ",50237
" ""1023.txt"" ",50263
" ""1024.txt"" ",50229
" ""1025.txt"" ",50245
" ""1026.txt"" ",50265
" ""1027.txt"" ",50243
" ""1028.txt"" ",50255
" ""1029.txt"" ",50237
" ""1030.txt"" ",50233
" ""1031.txt"" ",34105
" ""1032.txt"" ",34086
" ""1033.txt"" ",34085
" ""1034.txt"" ",34090
" ""1035.txt"" ",34101
" ""1036.txt"" ",34093
" ""1037.txt"" ",34087
" ""1038.txt"" ",34106
" ""1039.txt"" ",34097
" ""1040.txt"" ",34089
" ""1041.txt"" ",25071
" ""1042.txt"" ",25069
" ""1043.txt"" ",25068
" ""1044.txt"" ",25069
" ""1045.txt"" ",25065
" ""1046.txt"" ",25068
" ""1047.txt"" ",25069
" ""1048.txt"" ",25070
" ""1049.txt"" ",25074
" ""1050.txt"" ",25073
" ""1051.txt"" ",20048
" ""1052.txt"" ",20044
" ""1053.txt"" ",20050
" ""1054.txt"" ",20047
" ""1055.txt"" ",20050
" ""1056.txt"" ",20047
" ""1057.txt"" ",20044
" ""1058.txt"" ",20051
" ""1059.txt"" ",20048
" ""1060.txt"" ",20048
" ""111.txt"" ",10094
" ""112.txt"" ",10081
" ""113.txt"" ",10112
" ""114.txt"" ",10113
" ""115.txt"" ",10110
" ""116.txt"" ",10108
" ""117.txt"" ",10122
" ""118.txt"" ",10110
" ""119.txt"" ",10099
" ""120.txt"" ",10099
" ""121.txt"" ",5030
" ""122.txt"" ",5040
" ""123.txt"" ",5036
" ""124.txt"" ",5037
" ""125.txt"" ",5038
" ""126.txt"" ",5038
" ""127.txt"" ",5036
" ""128.txt"" ",5037
" ""129.txt"" ",5038
" ""130.txt"" ",5037
" ""131.txt"" ",4009
" ""132.txt"" ",4011
" ""133.txt"" ",4007
" ""134.txt"" ",4009
" ""135.txt"" ",4008
" ""136.txt"" ",4008
" ""137.txt"" ",4007
" ""138.txt"" ",4011
" ""139.txt"" ",4008
" ""140.txt"" ",4008
" ""141.txt"" ",3006
" ""142.txt"" ",3007
" ""143.txt"" ",3006
" ""144.txt"" ",3007
" ""145.txt"" ",3007
" ""146.txt"" ",3005
" ""147.txt"" ",3005
" ""148.txt"" ",3007
" ""149.txt"" ",3006
" ""150.txt"" ",3006
" ""151.txt"" ",2013
" ""152.txt"" ",2010
" ""153.txt"" ",2012
" ""154.txt"" ",2026
" ""155.txt"" ",2011
" ""156.txt"" ",2014
" ""157.txt"" ",2012
" ""158.txt"" ",2011
" ""159.txt"" ",2015
" ""160.txt"" ",2012
" ""211.txt"" ",20199
" ""212.txt"" ",20187
" ""213.txt"" ",20184
" ""214.txt"" ",20191
" ""215.txt"" ",20190
" ""216.txt"" ",20202
" ""217.txt"" ",20198
" ""218.txt"" ",20200
" ""219.txt"" ",20181
" ""220.txt"" ",20181
" ""221.txt"" ",10063
" ""222.txt"" ",10061
" ""223.txt"" ",10054
" ""224.txt"" ",10059
" ""225.txt"" ",10060
" ""226.txt"" ",10056
" ""227.txt"" ",10062
" ""228.txt"" ",10060
" ""229.txt"" ",10061
" ""230.txt"" ",10054
" ""231.txt"" ",7022
" ""232.txt"" ",7023
" ""233.txt"" ",7020
" ""234.txt"" ",7024
" ""235.txt"" ",7023
" ""236.txt"" ",7020
" ""237.txt"" ",7020
" ""238.txt"" ",7021
" ""239.txt"" ",7020
" ""240.txt"" ",7022
" ""241.txt"" ",5018
" ""242.txt"" ",5021
" ""243.txt"" ",5022
" ""244.txt"" ",5028
" ""245.txt"" ",5017
" ""246.txt"" ",5023
" ""247.txt"" ",5028
" ""248.txt"" ",5020
" ""249.txt"" ",5018
" ""250.txt"" ",5019
" ""251.txt"" ",4016
" ""252.txt"" ",4017
" ""253.txt"" ",4019
" ""254.txt"" ",4014
" ""255.txt"" ",4014
" ""256.txt"" ",4015
" ""257.txt"" ",4014
" ""258.txt"" ",4017
" ""259.txt"" ",4015
" ""260.txt"" ",4017
" ""511.txt"" ",50445
" ""512.txt"" ",50445
" ""513.txt"" ",50449
" ""514.txt"" ",50475
" ""515.txt"" ",50422
" ""516.txt"" ",50466
" ""517.txt"" ",50424
" ""518.txt"" ",50419
" ""519.txt"" ",50446
" ""520.txt"" ",50450
" ""521.txt"" ",25128
" ""522.txt"" ",25121
" ""523.txt"" ",25125
" ""524.txt"" ",25131
" ""525.txt"" ",25124
" ""526.txt"" ",25135
" ""527.txt"" ",25123
" ""528.txt"" ",25126
" ""529.txt"" ",25128
" ""530.txt"" ",25127
" ""531.txt"" ",17053
" ""532.txt"" ",17054
" ""533.txt"" ",17049
" ""534.txt"" ",17056
" ""535.txt"" ",17049
