Instance,best_cmax
" ""536.txt"" ",17054
" ""537.txt"" ",17053
" ""538.txt"" ",17052
" ""539.txt"" ",17052
" ""540.txt"" ",17050
" ""541.txt"" ",13030
" ""542.txt"" ",13028
" ""543.txt"" ",13031
" ""544.txt"" ",13028
" ""545.txt"" ",13027
" ""546.txt"" ",13028
" ""547.txt"" ",13029
" ""548.txt"" ",13027
" ""549.txt"" ",13026
" ""550.txt"" ",13026
" ""551.txt"" ",10028
" ""552.txt"" ",10028
" ""553.txt"" ",10030
" ""554.txt"" ",10026
" ""555.txt"" ",10025
" ""556.txt"" ",10028
" ""557.txt"" ",10028
" ""558.txt"" ",10029
" ""559.txt"" ",10027
" ""560.txt"" ",10030
